year,season,mean_temp
1994,Autumn,25.81
1994,Spring,28.42
1994,Summer,28.79
1994,Winter,20.35
1995,Autumn,25.24
1995,Spring,28.96
1995,Summer,29.07
1995,Winter,19.82
1996,Autumn,25.53
1996,Spring,28.82
1996,Summer,29.41
1996,Winter,20.25
1997,Autumn,25.98
1997,Spring,26.4
1997,Summer,29.31
1997,Winter,19.31
1998,Autumn,26.29
1998,Spring,26.41
1998,Summer,29.66
1998,Winter,19.78
1999,Autumn,25.29
1999,Spring,29.25
1999,Summer,28.74
1999,Winter,20.74
2000,Autumn,25.78
2000,Spring,28.18
2000,Summer,28.91
2000,Winter,19.62
2001,Autumn,25.84
2001,Spring,28.24
2001,Summer,28.13
2001,Winter,19.74
2002,Autumn,25.26
2002,Spring,28.1
2002,Summer,29.32
2002,Winter,20.57
2003,Autumn,25.5
2003,Spring,27.55
2003,Summer,29.72
2003,Winter,19.65
2004,Autumn,25.29
2004,Spring,28.4
2004,Summer,29.56
2004,Winter,20.56
2005,Autumn,25.32
2005,Spring,28.37
2005,Summer,30.02
2005,Winter,20.75
2006,Autumn,26.17
2006,Spring,28.79
2006,Summer,28.79
2006,Winter,21.49
2007,Autumn,25.64
2007,Spring,27.69
2007,Summer,29.41
2007,Winter,20.13
2008,Autumn,25.63
2008,Spring,28.16
2008,Summer,28.85
2008,Winter,20.23
2009,Autumn,25.94
2009,Spring,29.28
2009,Summer,29.7
2009,Winter,21.66
2010,Autumn,26.59
2010,Spring,30.36
2010,Summer,29.9
2010,Winter,20.65
2011,Autumn,26.03
2011,Spring,28.03
2011,Summer,29.22
2011,Winter,20.6
2012,Autumn,25.25
2012,Spring,28.71
2012,Summer,30.17
2012,Winter,20.04
2013,Autumn,25.15
2013,Spring,28.56
2013,Summer,28.89
2013,Winter,19.94
2014,Autumn,25.89
2014,Spring,28.88
2014,Summer,29.7
2014,Winter,19.67
2015,Autumn,26.6
2015,Spring,27.11
2015,Summer,29.23
2015,Winter,20.81
2016,Autumn,25.77
2016,Spring,29.56
2016,Summer,29.08
2016,Winter,21.58
2017,Autumn,25.97
2017,Spring,28.01
2017,Summer,29.65
2017,Winter,20.95
2018,Autumn,26.24
2018,Spring,27.81
2018,Summer,29.0
2018,Winter,19.68
2019,Autumn,26.11
2019,Spring,27.09
2019,Summer,30.0
2019,Winter,20.1
2020,Autumn,26.72
2020,Spring,27.52
2020,Summer,28.79
2020,Winter,19.8
2021,Autumn,25.97
2021,Spring,29.1
2021,Summer,28.98
2021,Winter,20.58
2022,Autumn,25.84
2022,Spring,28.9
2022,Summer,29.3
2022,Winter,19.93
2023,Autumn,26.44
2023,Spring,28.17
2023,Summer,29.8
2023,Winter,21.09
2024,Autumn,26.65
2024,Spring,28.49
2024,Summer,29.91
2024,Winter,20.25
2025,Autumn,27.16
2025,Spring,29.11
2025,Summer,29.22
2025,Winter,22.09
