year,mean_temp,max_temp,min_temp
1994,25.81,30.56,21.69
1995,25.71,30.34,21.72
1996,25.87,30.74,21.62
1997,25.39,30.0,21.43
1998,25.69,30.11,21.98
1999,25.9,30.75,21.76
2000,25.63,30.24,21.56
2001,25.48,30.1,21.47
2002,25.79,30.52,21.73
2003,25.67,30.33,21.74
2004,25.89,30.69,21.78
2005,26.15,30.92,22.19
2006,26.24,30.97,22.1
2007,25.78,30.39,21.81
2008,25.7,30.23,21.76
2009,26.57,31.48,22.3
2010,26.74,31.45,22.83
2011,25.93,30.57,21.88
2012,25.98,30.76,21.95
2013,25.59,30.33,21.51
2014,26.0,30.77,21.77
2015,26.05,30.45,22.31
2016,26.36,30.75,22.63
2017,26.19,30.61,22.55
2018,25.75,30.4,21.86
2019,25.96,30.53,22.2
2020,25.8,30.36,22.02
2021,26.12,30.8,22.29
2022,25.95,30.83,22.08
2023,26.45,31.53,22.34
2024,26.27,30.89,22.42
2025,26.89,31.45,23.0
