time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),sunshine_duration (s),daylight_duration (s),shortwave_radiation_sum (MJ/m²)
1994-05-24,26.0,28.9,24.4,0.0,48016.72,5.98
1994-06-28,27.0,28.2,25.6,0.0,48611.75,4.91
1995-05-10,27.1,30.1,24.4,0.0,47279.18,4.88
1995-05-13,26.2,27.3,25.2,0.0,47452.45,5.18
1995-05-16,26.1,26.4,25.7,0.0,47617.59,1.57
1995-07-19,26.2,28.3,25.1,0.0,48037.47,6.81
1995-10-30,23.8,25.6,22.5,0.0,40856.77,3.79
1995-11-01,22.7,24.2,21.6,0.0,40722.63,3.96
1995-11-09,24.4,25.0,23.6,0.0,40203.43,1.29
1996-06-19,26.4,26.8,25.9,0.0,48649.1,3.08
1996-06-20,26.7,28.9,25.6,0.0,48651.11,6.02
1996-06-26,28.1,29.7,26.0,0.0,48628.52,7.72
1996-06-30,27.3,28.7,26.7,0.0,48579.84,5.26
1996-08-07,25.9,27.6,24.7,0.0,46991.65,4.99
1996-08-21,25.3,26.2,24.3,0.0,46055.0,3.43
1996-10-27,24.2,25.9,22.9,0.0,41016.53,3.33
1996-10-28,23.8,25.2,22.2,0.0,40947.36,2.19
1997-07-19,26.5,28.5,25.4,0.0,48018.87,8.15
1997-07-20,26.0,27.5,25.3,0.0,47974.8,4.44
1997-09-06,27.2,29.8,25.4,0.0,44898.27,8.6
1997-09-26,25.6,27.8,24.5,0.0,43358.71,6.33
1998-08-13,26.8,27.7,26.3,0.0,46634.8,4.89
1998-09-08,25.5,26.6,24.7,0.0,44769.16,3.29
1998-09-10,25.5,26.8,24.5,0.0,44617.06,4.17
1998-09-11,25.2,26.1,24.3,0.0,44540.43,2.96
1998-09-12,25.1,25.9,24.0,0.0,44463.49,2.8
1998-10-20,26.1,28.5,25.1,0.0,41555.53,4.62
1998-11-22,22.8,23.9,21.5,0.0,39462.68,1.24
1999-08-15,26.1,27.8,24.9,0.0,46522.82,4.92
1999-10-17,24.7,26.4,23.9,0.0,41794.67,3.53
2000-08-31,26.1,27.9,25.3,0.0,45332.61,4.79
2000-09-18,25.4,26.8,24.4,0.0,43962.58,5.3
2001-06-02,26.7,29.0,25.1,0.0,48360.62,6.29
2001-07-02,25.9,26.6,25.0,0.0,48547.08,2.27
2001-11-11,23.0,24.3,22.1,0.0,40049.76,3.33
2002-06-09,27.6,30.2,25.3,0.0,48530.95,6.96
2002-06-24,26.3,28.1,25.0,0.0,48644.98,5.89
2002-09-10,25.1,25.6,24.5,0.0,44614.81,2.25
2002-11-11,22.7,24.2,20.9,0.0,40063.79,2.85
2002-11-12,21.2,22.0,20.5,0.0,40003.65,0.62
2003-06-19,26.5,28.2,25.0,0.0,48647.65,5.25
2003-10-07,24.6,25.2,24.1,0.0,42544.65,1.09
2003-10-08,25.4,27.0,24.4,0.0,42468.71,4.01
2004-06-15,26.7,28.8,24.7,0.0,48626.05,6.28
2004-09-12,24.9,26.3,24.0,0.0,44418.66,4.03
2004-09-13,24.4,26.1,23.5,0.0,44342.73,3.3
2004-09-14,23.9,25.1,23.4,0.0,44266.94,2.43
2004-09-16,25.3,27.5,23.9,0.0,44114.16,5.46
2005-06-28,26.0,27.0,25.4,0.0,48609.06,2.57
2005-07-04,26.8,28.3,25.9,0.0,48506.29,6.21
2005-07-13,26.4,28.1,25.4,0.0,48252.61,6.68
2005-07-14,26.3,27.3,25.6,0.0,48216.82,5.17
2005-10-02,25.0,26.0,24.2,0.0,42894.34,2.66
2005-10-19,24.6,26.3,23.5,0.0,41604.2,3.11
2005-10-20,23.9,24.5,23.5,0.0,41531.77,1.09
2005-10-21,24.3,24.9,23.7,0.0,41459.32,2.51
2005-12-22,18.2,21.0,16.8,0.0,38707.47,3.44
2006-06-10,29.5,31.9,25.9,0.0,48552.02,9.76
2006-07-09,26.8,27.4,26.2,0.0,48388.32,2.48
2006-09-20,25.5,26.5,24.9,0.0,43837.39,3.26
2006-11-10,22.7,24.8,21.1,0.0,40121.71,5.16
