time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),sunshine_duration (s),daylight_duration (s),shortwave_radiation_sum (MJ/m²)

1994-01-01,20.0,27.2,13.9,35388.50,38813.64,16.70
1994-01-02,20.0,27.1,13.4,35337.72,38834.01,16.64
1994-01-03,20.7,28.2,14.2,35348.36,38856.03,16.40
1994-01-04,21.0,27.7,14.4,35392.11,38879.66,16.58
1994-01-05,21.6,28.0,14.7,35311.84,38904.88,16.39
1994-01-06,21.4,27.2,14.9,35363.19,38931.65,16.07
1994-01-07,20.5,27.0,14.9,35350.32,38959.95,16.42
1994-01-08,20.2,26.6,13.8,35485.33,38989.73,17.01
1994-01-09,20.7,27.0,13.4,35479.95,39020.98,17.08
1994-01-10,20.2,26.1,14.5,32946.30,39053.73,14.48
1994-01-11,20.3,26.4,14.9,35472.62,39088.35,16.61
1994-01-12,20.2,26.7,14.0,35636.52,39124.84,17.25
1994-01-13,21.8,28.0,14.7,35639.64,39163.13,16.60
1994-01-14,22.2,28.1,15.7,35292.11,39203.14,15.43
1994-01-15,22.4,27.7,17.0,35377.52,39244.79,14.13
1994-01-16,19.5,25.2,14.4,27469.64,39288.02,7.88
1994-01-17,16.7,22.7,11.4,36226.20,39332.74,18.23
1994-01-18,16.4,22.8,10.7,36245.55,39378.89,18.11
1994-01-19,17.3,24.1,10.2,36265.24,39426.40,18.21
1994-01-20,18.8,25.6,12.5,36285.28,39475.18,17.62
1994-01-21,19.4,26.9,13.8,36408.52,39525.19,17.67
1994-01-22,19.1,26.3,12.3,36640.73,39576.32,18.31
1994-01-23,18.0,25.7,11.4,36774.10,39628.54,18.77
1994-01-24,19.0,26.3,11.1,36802.87,39681.75,18.40
1994-01-25,19.1,26.4,12.0,36940.04,39735.90,18.62
1994-01-26,19.4,26.5,11.8,36999.68,39790.92,18.73
1994-01-27,20.4,27.8,13.1,37060.12,39846.74,18.72
1994-01-28,21.6,28.3,13.4,37121.28,39903.29,18.60
1994-01-29,22.7,29.5,16.2,37183.11,39960.52,18.33
1994-01-30,22.9,29.5,16.7,36862.19,40018.48,17.54
1994-01-31,21.0,25.2,18.3,25072.56,40077.74,8.53
1994-02-01,19.7,22.8,16.6,22368.15,40138.34,8.03
1994-02-02,16.4,19.5,13.1,9235.78,40200.20,5.53
1994-02-03,17.1,22.6,12.8,25132.36,40263.23,14.17
1994-02-04,18.6,23.8,12.0,37577.49,40327.35,19.32
1994-02-05,20.1,25.6,14.0,37647.32,40392.49,19.39
1994-02-06,20.8,26.6,15.6,37718.07,40458.56,19.56
1994-02-07,21.6,28.0,14.2,37789.68,40525.50,19.51
1994-02-08,22.3,28.1,15.3,37862.04,40593.21,19.36
1994-02-09,20.8,25.5,16.4,33458.26,40661.62,12.84
1994-02-10,19.1,24.4,13.4,37553.20,40730.68,16.52
1994-02-11,18.8,24.5,12.9,38082.86,40800.29,19.85
1994-02-12,20.7,25.8,15.8,38099.92,40870.38,16.79
1994-02-13,20.7,26.8,15.0,38232.37,40940.90,20.05
1994-02-14,21.3,27.0,15.1,38307.59,41011.77,20.11
1994-02-15,22.0,26.3,17.8,38094.68,41082.91,14.03
1994-02-16,22.1,25.9,17.5,22450.39,41154.26,9.35
1994-02-17,22.5,27.6,16.7,38520.20,41225.76,17.45
1994-02-18,23.0,27.7,18.9,38194.10,41297.34,12.87
1994-02-19,23.2,29.1,16.9,38587.49,41369.04,20.92
1994-02-20,24.1,29.9,16.3,38620.25,41441.49,20.50
1994-02-21,25.7,31.0,20.3,38652.43,41514.75,18.54
1994-02-22,23.0,26.4,18.9,36079.03,41588.72,12.03
1994-02-23,21.2,27.0,15.0,38715.14,41663.37,21.74
1994-02-24,20.5,26.6,13.3,38745.69,41738.61,22.19
1994-02-25,20.0,26.9,12.8,38775.73,41814.38,22.34
1994-02-26,21.4,27.9,15.9,38805.28,41890.62,22.36
1994-02-27,23.1,30.5,15.6,38834.36,41967.27,21.62
1994-02-28,24.9,31.8,17.4,38862.97,42044.27,19.35
1994-03-01,24.8,31.3,18.9,38891.14,42121.55,21.21
1994-03-02,24.3,30.8,18.8,38918.90,42199.06,22.42
1994-03-03,24.3,31.2,16.1,38946.26,42276.73,21.99
1994-03-04,25.5,32.2,18.9,38973.24,42354.51,21.53
1994-03-05,26.9,34.6,19.9,38999.86,42432.33,22.58
1994-03-06,27.4,34.6,20.8,39026.14,42510.14,22.74
1994-03-07,27.3,33.8,20.5,39052.11,42587.88,22.11
1994-03-08,26.0,32.2,19.8,39077.79,42665.49,22.71
1994-03-09,25.6,32.8,16.8,39232.94,42742.92,23.68
1994-03-10,26.0,33.3,16.8,39417.53,42820.10,23.73
1994-03-11,25.7,32.9,19.1,39273.80,42897.09,23.71
1994-03-12,27.4,34.7,18.9,39466.95,42974.45,22.80
1994-03-13,28.8,35.2,23.3,39489.63,43052.25,21.24
1994-03-14,29.1,35.5,24.2,39225.14,43130.42,20.98
1994-03-15,29.7,36.8,24.5,39625.98,43208.92,22.61
1994-03-16,29.9,36.6,24.3,39310.18,43287.69,22.84
1994-03-17,30.1,37.6,23.9,39966.74,43366.68,23.63
1994-03-18,29.9,36.8,23.0,40196.92,43445.84,24.31
1994-03-19,29.9,36.5,22.5,40330.56,43525.11,24.49
1994-03-20,30.3,37.5,23.7,40360.73,43604.45,24.14
1994-03-21,30.2,37.6,25.4,40498.33,43683.80,21.85
1994-03-22,29.7,36.2,25.1,40638.86,43763.10,23.86
1994-03-23,28.4,33.2,24.7,39421.94,43842.32,18.77
1994-03-24,28.5,34.3,24.6,40468.91,43921.39,22.00
1994-03-25,28.9,35.2,24.6,40843.59,44000.26,23.35
1994-03-26,28.5,34.0,24.9,40193.59,44078.88,22.65
1994-03-27,29.0,34.4,24.7,40659.70,44157.20,20.22
1994-03-28,29.1,35.5,24.4,40927.62,44235.16,23.58
1994-03-29,26.9,29.9,24.6,39582.45,44312.71,17.20
1994-03-30,28.0,32.8,25.1,40728.38,44389.80,20.04
1994-03-31,29.8,35.5,25.4,41766.27,44466.46,22.51
1994-04-01,29.7,35.0,26.3,41533.44,44543.24,20.40
1994-04-02,26.3,34.4,22.5,32902.75,44620.18,20.01
1994-04-03,24.6,31.4,22.0,36586.84,44697.24,18.84
1994-04-04,26.8,31.6,22.6,32132.69,44774.36,18.31
1994-04-05,27.5,31.1,24.0,40043.71,44851.49,18.71
1994-04-06,29.0,34.6,25.0,40075.84,44928.59,23.04
1994-04-07,29.6,35.2,24.6,42233.21,45005.60,24.06
1994-04-08,29.6,34.5,24.4,41954.12,45082.47,24.44
1994-04-09,29.8,35.2,24.7,41024.20,45159.15,24.57
1994-04-10,29.5,35.3,24.4,42395.99,45235.59,25.65
1994-04-11,30.1,36.0,24.0,42449.48,45311.72,25.32
1994-04-12,29.3,35.6,21.9,29181.52,45387.50,15.92
1994-04-13,30.3,37.0,21.8,42554.84,45462.88,26.43
1994-04-14,31.0,37.6,24.1,42606.57,45537.79,24.08
1994-04-15,31.4,38.6,24.9,42657.56,45612.19,24.50
1994-04-16,30.4,36.2,26.2,36648.48,45686.00,17.43
1994-04-17,28.0,35.1,24.3,29942.26,45759.18,18.10
1994-04-18,27.8,31.9,24.5,42805.41,45831.66,19.22
1994-04-19,28.3,34.2,24.3,37897.53,45903.39,21.52
1994-04-20,30.0,36.7,24.6,42898.93,45974.38,25.01
1994-04-21,29.6,35.8,25.4,42944.42,46045.18,21.64
1994-04-22,27.4,32.6,24.9,30799.60,46115.81,15.97
1994-04-23,26.9,30.2,24.5,30635.81,46186.23,14.70
1994-04-24,29.1,32.9,24.9,41131.28,46256.38,23.23
1994-04-25,28.3,34.2,25.3,41910.97,46326.20,21.44
1994-04-26,29.4,34.5,25.7,43164.98,46395.64,24.72
1994-04-27,29.3,34.0,25.4,43200.00,46464.66,25.46
1994-04-28,29.5,34.3,25.2,43200.00,46533.18,24.49
1994-04-29,29.6,34.7,25.2,43200.00,46601.16,23.92
1994-04-30,29.7,34.2,25.2,43200.00,46668.52,24.90
1994-05-01,29.7,34.2,25.4,43200.00,46735.22,24.56
1994-05-02,30.5,34.9,25.5,43200.00,46801.20,23.83
1994-05-03,32.2,37.8,27.4,43200.00,46866.38,24.29
1994-05-04,33.5,39.4,28.2,43200.00,46930.71,25.35
1994-05-05,33.7,39.3,29.0,43200.00,46994.13,24.44
1994-05-06,33.2,39.3,28.5,40361.28,47056.57,24.31
1994-05-07,32.9,39.0,28.3,43200.00,47117.96,25.14
1994-05-08,32.0,36.9,27.8,43200.00,47178.25,23.41
1994-05-09,30.2,36.1,26.7,43200.00,47237.34,20.43
1994-05-10,29.9,34.8,27.2,42338.53,47295.29,20.60
1994-05-11,30.8,35.1,26.9,43200.00,47352.53,23.85
1994-05-12,31.8,37.5,26.8,43200.00,47409.11,25.75
1994-05-13,31.3,36.9,27.4,43200.00,47464.96,22.51
1994-05-14,31.9,37.8,27.4,43200.00,47520.06,26.47
1994-05-15,31.6,37.1,27.8,42616.96,47574.33,23.83
1994-05-16,31.9,37.4,28.1,43200.00,47627.72,23.00
